"file","item_id","level","type","objective_verdict","tier1_findings","subjective_label","confidence","red_flag","status","subjective_source","escalation_reason"
"content/a1/reading/A1-T1-001.json","Q1","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-001.json","Q2","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-001.json","Q3","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-001.json","Q4","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-001.json","Q5","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-002.json","Q1","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-002.json","Q2","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-002.json","Q3","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-002.json","Q4","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-002.json","Q5","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-003.json","Q1","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-003.json","Q2","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-003.json","Q3","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-003.json","Q4","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-003.json","Q5","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-004.json","Q1","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-004.json","Q2","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-004.json","Q3","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-004.json","Q4","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-004.json","Q5","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-005.json","Q1","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-005.json","Q2","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
"content/a1/reading/A1-T1-005.json","Q3","a1","richtig_falsch","PASS","","ok","low","true","escalate","mock","redFlag (mock red-team — PLACEHOLDER, not a real disagreement); confidence=low"
