file,item_id,level,type,stem
"content/b2/reading/B2-T1-002.json","Q2","b2","multiple_choice","Was impliziert der Text über könnte man dem Autor bezüglich laut Prof. Hartmann der Hauptgrund für die niedrige Beteiligung entgegenhalten?"
"content/b2/reading/B2-T1-002.json","Q5","b2","multiple_choice","Welche Schlussfolgerung über lässt sich aus den Angaben über Land hat seit 2005 digitale Stimmabgabe schließen legt der Text nahe?"
"content/b2/reading/B2-T1-003.json","Q1","b2","multiple_choice","Was impliziert der Text über lässt sich aus den Angaben über Um wie viel Prozent ging die schließen?"
"content/b2/reading/B2-T1-003.json","Q2","b2","multiple_choice","Welche Schwäche hat die Argumentation bezüglich betont Marcus Weber über das Kino?"
"content/b2/reading/B2-T1-003.json","Q3","b2","multiple_choice","Welche Schlussfolgerung über lässt sich aus den Angaben über konnte das „Cinema Paradiso"" in Berlin gegen den Trend bestehen schließen legt der Text nahe?"
"content/b2/reading/B2-T1-004.json","Q1","b2","multiple_choice","Was impliziert der Text über lässt sich aus den Angaben über könnte man dem Autor bezüglich viele Unternehmen nahmen am deutschen Pilotprojekt teil entgegenhalten schließen?"
"content/b2/reading/B2-T1-008.json","Q3","b2","multiple_choice","Welche Schlussfolgerung über lässt sich aus den Angaben über viele Bußgelder wurden bislang gegen Social-Media-Unternehmen in Deutschland verhängt schließen legt der Text nahe?"
"content/b2/reading/B2-T1-009.json","Q3","b2","multiple_choice","Was lässt sich aus den Angaben über Schlussfolgerung über Um wie viel Prozent stieg die legt der Text nahe schließen?"
"content/b2/reading/B2-T2-002.json","Q5","b2","multiple_choice","Welche Absicht verfolgt der Autor bezüglich lässt sich aus den Angaben über fordert der Autor als Begleitung zur Wahlrechtsabsenkung schließen?"
"content/b2/reading/B2-T2-003.json","Q4","b2","multiple_choice","Was könnte man dem Autor bezüglich fordert der Autor bezüglich der Fördermittelvergabe entgegenhalten?"
"content/b2/reading/B2-T2-004.json","Q4","b2","multiple_choice","Welche Schwäche hat die Argumentation bezüglich leidet laut dem Text im Homeoffice besonders?"
"content/b2/reading/B2-T2-005.json","Q2","b2","multiple_choice","Welche Schlussfolgerung über Schlussfolgerung über viele Stunden am Tag stehen Pkw in Großstädten durchschnittlich ungenutzt legt der Text nahe legt der Text nahe?"
"content/b2/reading/B2-T2-007.json","Q2","b2","multiple_choice","Welche Absicht verfolgt der Autor bezüglich könnte man dem Autor bezüglich Grundrecht steht laut dem Text im Konflikt mit einer Impfpflicht entgegenhalten?"
"content/b2/reading/B2-T2-008.json","Q5","b2","multiple_choice","Was impliziert der Text über lässt sich aus den Angaben über Worin sieht der Autor die eigentliche schließen?"
"content/b2/reading/B2-T2-009.json","Q5","b2","multiple_choice","Was könnte man dem Autor bezüglich laut dem Autor die zentrale Erkenntnis entgegenhalten?"
"content/b2/reading/B2-T2-010.json","Q1","b2","multiple_choice","Was lässt sich aus den Angaben über könnte man dem Autor bezüglich Stadt hat 2013 als erste den Nahverkehr kostenlos gemacht entgegenhalten schließen?"
"content/b2/reading/B2-T5-001.json","Q1","b2","multiple_choice","Was impliziert der Text über lässt sich aus den Angaben über lässt sich aus den Angaben über könnte man dem Autor bezüglich laut dem Ratgeber der wichtigste Faktor bei der Themenwahl entgegenhalten schließen schließen?"
"content/b2/reading/B2-T5-003.json","Q2","b2","multiple_choice","Was impliziert der Text über Schlussfolgerung über viele Arbeiten sollte ein Portfolio enthalten legt der Text nahe?"
"content/b2/reading/B2-T5-004.json","Q1","b2","multiple_choice","Was impliziert der Text über Schlussfolgerung über man vor dem Gespräch recherchieren legt der Text nahe?"
"content/b2/reading/B2-T5-004.json","Q3","b2","multiple_choice","Welche Schlussfolgerung über lässt sich aus den Angaben über man die Frage nach den Schwächen beantworten schließen legt der Text nahe?"
"content/b2/reading/B2-T5-005.json","Q1","b2","multiple_choice","Was lässt sich aus den Angaben über Absicht verfolgt der Autor, wenn er Schlussfolgerung über Gütesiegel werden für nachhaltiges Einkaufen empfohlen legt der Text nahe erwähnt schließen?"
"content/b2/reading/B2-T5-005.json","Q3","b2","multiple_choice","Welche Schlussfolgerung über Schlussfolgerung über für Flugreisen empfohlen legt der Text nahe legt der Text nahe?"
"content/b2/reading/B2-T5-006.json","Q5","b2","multiple_choice","Was impliziert der Text über lässt sich aus den Angaben über man Medienkompetenz beim Kind fördern schließen?"
"content/b2/reading/B2-T5-007.json","Q2","b2","multiple_choice","Was impliziert der Text über Schlussfolgerung über Schlussfolgerung über viel Schlaf wird empfohlen legt der Text nahe legt der Text nahe?"
"content/b2/reading/B2-T5-009.json","Q2","b2","multiple_choice","Welche Absicht verfolgt der Autor bezüglich lässt sich aus den Angaben über viele Stunden Sprachunterricht umfasst ein Integrationskurs schließen?"
"content/b2/reading/B2-T5-010.json","Q1","b2","multiple_choice","Welche Absicht verfolgt der Autor bezüglich Schlussfolgerung über Schlussfolgerung über Schlussfolgerung über Um wie viel Prozent reduziert ein legt der Text nahe legt der Text nahe legt der Text nahe?"
"content/b2/reading/B2-T5-010.json","Q4","b2","multiple_choice","Welche Schwäche hat die Argumentation bezüglich Art von Schloss wird für Fahrräder empfohlen?"
"content/c1/reading/C1-T2-001.json","Q1","c1","multiple_choice","Was impliziert die Darstellung von das grundsätzliche Problem bei der Programmierung moralischer Algorithmen für die Gesamtthese?"
"content/c1/reading/C1-T2-003.json","Q6","c1","multiple_choice","Was impliziert die Darstellung von Herausforderung haben Verlage für die Gesamtthese?"
"content/c1/reading/C1-T2-004.json","Q3","c1","multiple_choice","Was impliziert die Darstellung von Maßnahme wurde in ganz Paris eingeführt für die Gesamtthese?"
"content/c1/reading/C1-T2-005.json","Q4","c1","multiple_choice","Was impliziert die Darstellung von Hirnregion strebt sofortige Belohnung an für die Gesamtthese?"
"content/c1/reading/C1-T2-006.json","Q7","c1","multiple_choice","Was impliziert die Darstellung von Warum ist das Verfahren für schnelllebige für die Gesamtthese?"
"content/c1/reading/C1-T2-007.json","Q2","c1","multiple_choice","Was impliziert die Darstellung von viel Prozent der Deutschen zahlen für Online-Nachrichten für die Gesamtthese?"
"content/c1/reading/C1-T2-007.json","Q6","c1","multiple_choice","Was impliziert die Darstellung von mit den Werbeumsätzen der Printmedien passiert für die Gesamtthese?"
"content/c1/reading/C1-T2-009.json","Q7","c1","multiple_choice","Was impliziert die Darstellung von schaffen immersive Installationen für die Gesamtthese?"
"content/c1/reading/C1-T2-011.json","Q3","c1","multiple_choice","Was impliziert die Darstellung von gilt als Haupttreiber des Biodiversitätsverlusts für die Gesamtthese?"
"content/c1/reading/C1-T2-011.json","Q5","c1","multiple_choice","Wie überzeugend ist die Beweisführung bezüglich sieht das Kunming-Montreal-Abkommen vor?"
"content/c1/reading/C1-T2-012.json","Q1","c1","multiple_choice","Was impliziert die Darstellung von viele Generationen dauert es in Deutschland, den Durchschnitt zu erreichen für die Gesamtthese?"
"content/c1/reading/C1-T2-012.json","Q2","c1","multiple_choice","Was impliziert die Darstellung von die Great Gatsby Curve für die Gesamtthese?"
"content/c2/reading/C2-T1-001.json","Q4","c2","multiple_choice","Welche epistemologische Position vertritt der Autor bezüglich fordert Hart bezüglich Recht und Moral?"
"content/c2/reading/C2-T1-001.json","Q5","c2","multiple_choice","Inwiefern widersprechen sich die Ausführungen zu Dworkins Beitrag zur Debatte mit der Gesamtthese?"
"content/c2/reading/C2-T1-001.json","Q6","c2","multiple_choice","Inwiefern widersprechen sich die Ausführungen zu Dworkins metaphorischer idealer Richter mit der Gesamtthese?"
"content/c2/reading/C2-T1-001.json","Q7","c2","multiple_choice","Inwiefern widersprechen sich die Ausführungen zu historische Erfahrung intensivierte die Debatte mit der Gesamtthese?"
"content/c2/reading/C2-T1-001.json","Q8","c2","multiple_choice","Was lässt sich aus der kritischen Betrachtung von Warum hält Hart die Trennung von für die Gesamtthese ableiten?"
"content/c2/reading/C2-T1-002.json","Q1","c2","multiple_choice","Inwiefern unterstützt die Darstellung von die Ironie bei Thomas Mann primär die Gesamtargumentation?"
"content/c2/reading/C2-T1-002.json","Q2","c2","multiple_choice","Welche methodologische Implikation hat die Analyse von sich die Ironie in den Buddenbrooks?"
"content/c2/reading/C2-T1-002.json","Q4","c2","multiple_choice","Welcher epistemologische Einwand lässt sich gegen die Analyse von Worin enden die Debatten zwischen Settembrini erheben?"
"content/c2/reading/C2-T1-002.json","Q10","c2","multiple_choice","Inwiefern unterstützt die Darstellung von bot die Ironie in einer ideologisch polarisierten Zeit die Gesamtargumentation?"
"content/c2/reading/C2-T1-003.json","Q1","c2","multiple_choice","Inwiefern widersprechen sich die Ausführungen zu laut Bohr die richtige Reaktion auf die Quantentheorie mit der Gesamtthese?"
"content/c2/reading/C2-T1-003.json","Q9","c2","multiple_choice","Inwiefern widersprechen sich die Ausführungen zu liefert die Quantenmechanik mit beispielloser Präzision mit der Gesamtthese?"
"content/c2/reading/C2-T1-003.json","Q10","c2","multiple_choice","Was lässt sich aus der kritischen Betrachtung von grundsätzliche Frage wirft der Text auf für die Gesamtthese ableiten?"
"content/c2/reading/C2-T1-004.json","Q3","c2","multiple_choice","Inwiefern unterstützt die Darstellung von Familienähnlichkeiten im Kontext der Sprachspiele die Gesamtargumentation?"
"content/c2/reading/C2-T1-004.json","Q4","c2","multiple_choice","Inwiefern widersprechen sich die Ausführungen zu entstehen laut Wittgenstein philosophische Probleme mit der Gesamtthese?"
