file_path,item_id,index,level,type,teil,answer,de_class_original,de_class_current,de_len,vi_len,prescreen_flags
"content/a1/reading/A1-T1-001.json","Q1","0","a1","richtig_falsch","1","richtig","translate-only","rich","111","181",""
"content/a1/reading/A1-T1-001.json","Q2","1","a1","richtig_falsch","1","falsch","translate-only","rich","145","186",""
"content/a1/reading/A1-T1-001.json","Q3","2","a1","richtig_falsch","1","falsch","translate-only","rich","118","178",""
"content/a1/reading/A1-T1-001.json","Q4","3","a1","richtig_falsch","1","richtig","translate-only","rich","105","178",""
"content/a1/reading/A1-T1-001.json","Q5","4","a1","richtig_falsch","1","falsch","translate-only","rich","135","178",""
"content/a1/reading/A1-T1-002.json","Q1","0","a1","richtig_falsch","1","falsch","translate-only","rich","98","182",""
"content/a1/reading/A1-T1-002.json","Q2","1","a1","richtig_falsch","1","richtig","translate-only","rich","84","178",""
"content/a1/reading/A1-T1-002.json","Q3","2","a1","richtig_falsch","1","falsch","translate-only","rich","91","171",""
"content/a1/reading/A1-T1-002.json","Q4","3","a1","richtig_falsch","1","richtig","translate-only","rich","92","196",""
"content/a1/reading/A1-T1-002.json","Q5","4","a1","richtig_falsch","1","falsch","translate-only","rich","96","201",""
"content/a1/reading/A1-T1-003.json","Q1","0","a1","richtig_falsch","1","falsch","translate-only","rich","97","178",""
"content/a1/reading/A1-T1-003.json","Q2","1","a1","richtig_falsch","1","richtig","translate-only","rich","99","190",""
"content/a1/reading/A1-T1-003.json","Q3","2","a1","richtig_falsch","1","falsch","translate-only","rich","141","176",""
"content/a1/reading/A1-T1-003.json","Q4","3","a1","richtig_falsch","1","richtig","translate-only","rich","109","214",""
"content/a1/reading/A1-T1-003.json","Q5","4","a1","richtig_falsch","1","falsch","translate-only","rich","78","186",""
"content/a1/reading/A1-T1-004.json","Q1","0","a1","richtig_falsch","1","falsch","translate-only","rich","100","184",""
"content/a1/reading/A1-T1-004.json","Q2","1","a1","richtig_falsch","1","richtig","translate-only","rich","111","226",""
"content/a1/reading/A1-T1-004.json","Q3","2","a1","richtig_falsch","1","falsch","translate-only","rich","95","181",""
"content/a1/reading/A1-T1-004.json","Q4","3","a1","richtig_falsch","1","falsch","translate-only","rich","107","200",""
"content/a1/reading/A1-T1-004.json","Q5","4","a1","richtig_falsch","1","richtig","translate-only","rich","88","179",""
"content/a1/reading/A1-T1-005.json","Q1","0","a1","richtig_falsch","1","falsch","translate-only","rich","100","186",""
"content/a1/reading/A1-T1-005.json","Q2","1","a1","richtig_falsch","1","richtig","translate-only","rich","74","193",""
"content/a1/reading/A1-T1-005.json","Q3","2","a1","richtig_falsch","1","falsch","translate-only","rich","109","162",""
"content/a1/reading/A1-T1-005.json","Q4","3","a1","richtig_falsch","1","richtig","translate-only","rich","66","168",""
"content/a1/reading/A1-T1-005.json","Q5","4","a1","richtig_falsch","1","falsch","translate-only","rich","113","167",""
"content/a1/reading/A1-T1-006.json","Q1","0","a1","richtig_falsch","1","falsch","translate-only","rich","101","193",""
"content/a1/reading/A1-T1-006.json","Q2","1","a1","richtig_falsch","1","richtig","translate-only","rich","79","190",""
"content/a1/reading/A1-T1-006.json","Q3","2","a1","richtig_falsch","1","falsch","translate-only","rich","104","165",""
"content/a1/reading/A1-T1-006.json","Q4","3","a1","richtig_falsch","1","richtig","translate-only","rich","57","159",""
"content/a1/reading/A1-T1-006.json","Q5","4","a1","richtig_falsch","1","falsch","translate-only","rich","89","188",""
"content/a1/reading/A1-T1-007.json","Q1","0","a1","richtig_falsch","1","falsch","translate-only","rich","112","162",""
"content/a1/reading/A1-T1-007.json","Q2","1","a1","richtig_falsch","1","richtig","translate-only","rich","49","189",""
"content/a1/reading/A1-T1-007.json","Q3","2","a1","richtig_falsch","1","falsch","translate-only","rich","90","180",""
"content/a1/reading/A1-T1-007.json","Q4","3","a1","richtig_falsch","1","richtig","translate-only","rich","45","180",""
"content/a1/reading/A1-T1-007.json","Q5","4","a1","richtig_falsch","1","falsch","translate-only","rich","120","183",""
"content/a1/reading/A1-T1-008.json","Q1","0","a1","richtig_falsch","1","falsch","translate-only","rich","92","194",""
"content/a1/reading/A1-T1-008.json","Q2","1","a1","richtig_falsch","1","richtig","translate-only","rich","57","191",""
"content/a1/reading/A1-T1-008.json","Q3","2","a1","richtig_falsch","1","falsch","translate-only","rich","124","179",""
