file,item_id,level,type,objective_verdict,german,cefr,vn,redteam_predicted,red_flag,consensus,confidence,status,subjective_source,note
content/a1/reading/A1-T1-002.json,Q1,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"Samstag≠Sonntag; đáp án + bằng chứng đúng."
content/a1/reading/A1-T1-002.json,Q2,a1,richtig_falsch,PASS,ok,ok,ok,richtig,false,ok,high,advisory-pass (low-assurance),kiro-agent,"Khớp nguyên văn 'um 15 Uhr'."
content/a1/reading/A1-T1-002.json,Q3,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"Anna xin Maria mang nhạc, không phải đồ ăn."
content/a1/reading/A1-T1-002.json,Q4,a1,richtig_falsch,PASS,ok,ok,ok,richtig,false,ok,high,advisory-pass (low-assurance),kiro-agent,"Maria mang quà + nước cam."
content/a1/reading/A1-T1-002.json,Q5,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"Là anh trai Tom, không phải chị gái."
content/a1/reading/A1-T1-003.json,Q1,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"Kopfschmerzen≠Zahnschmerzen."
content/a1/reading/A1-T1-003.json,Q2,a1,richtig_falsch,PASS,ok,ok,ok,richtig,false,ok,high,advisory-pass (low-assurance),kiro-agent,"'Am Vormittag habe ich Zeit'."
content/a1/reading/A1-T1-003.json,Q3,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"Distractor tốt: muốn 10h nhưng hẹn 9h."
content/a1/reading/A1-T1-003.json,Q4,a1,richtig_falsch,PASS,ok,ok,ok,richtig,false,ok,high,advisory-pass (low-assurance),kiro-agent,"Mang thẻ bảo hiểm."
content/a1/reading/A1-T1-003.json,Q5,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"Có Parkplätze → phủ định sai."
content/a1/reading/A1-T1-004.json,Q1,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"Freitag≠Montag."
content/a1/reading/A1-T1-004.json,Q2,a1,richtig_falsch,PASS,ok,ok,ok,richtig,false,ok,high,advisory-pass (low-assurance),kiro-agent,"Wörterbuch nằm trong danh sách."
content/a1/reading/A1-T1-004.json,Q3,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"45 Minuten ≠ eine Stunde."
content/a1/reading/A1-T1-004.json,Q4,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"Text về gia đình, không phải trường."
content/a1/reading/A1-T1-004.json,Q5,a1,richtig_falsch,PASS,concern,ok,ok,richtig,false,concern,medium,escalate,kiro-agent,"P2: explanation.de trích 'Ich brauche Hilfe.' nhưng bản gốc 'Ich brauche Hilfe mit den Wörtern.' — trích thiếu, nên trích nguyên văn. Đáp án đúng."
content/a1/reading/A1-T1-005.json,Q1,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"2-Zimmer ≠ 3-Zimmer."
content/a1/reading/A1-T1-005.json,Q2,a1,richtig_falsch,PASS,ok,ok,ok,richtig,false,ok,high,advisory-pass (low-assurance),kiro-agent,"'am Dienstag um 14 Uhr sehen'."
content/a1/reading/A1-T1-005.json,Q3,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"'keine Haustiere' → không có chó (suy luận A1 hợp lý)."
content/a1/reading/A1-T1-005.json,Q4,a1,richtig_falsch,PASS,concern,ok,ok,richtig,false,concern,medium,escalate,kiro-agent,"P2: explanation.de trích 'einen Balkon' nhưng bản gốc 'einen schönen Balkon' — bỏ 'schönen'. Đáp án đúng."
content/a1/reading/A1-T1-005.json,Q5,a1,richtig_falsch,PASS,concern,ok,ok,falsch,false,concern,medium,escalate,kiro-agent,"P2: explanation.de trích 'bei Bauer, dritter Stock' nhưng bản gốc 'bei Bauer im dritten Stock' — trích sai dạng (đúng phải 'im dritten Stock'). Đáp án đúng."
content/a1/reading/A1-T1-006.json,Q1,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"heute Abend ≠ mittags."
content/a1/reading/A1-T1-006.json,Q2,a1,richtig_falsch,PASS,ok,ok,ok,richtig,false,ok,high,advisory-pass (low-assurance),kiro-agent,"'Wir sind vier Personen'."
content/a1/reading/A1-T1-006.json,Q3,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"'ich esse keine Pizza'."
content/a1/reading/A1-T1-006.json,Q4,a1,richtig_falsch,PASS,ok,ok,ok,richtig,false,ok,high,advisory-pass (low-assurance),kiro-agent,"'Ich liebe Tiramisu'."
content/a1/reading/A1-T1-006.json,Q5,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"fünf ≠ sechs."
content/a1/reading/A1-T1-007.json,Q1,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"Gleis 5 ≠ Gleis 3."
content/a1/reading/A1-T1-007.json,Q2,a1,richtig_falsch,PASS,ok,ok,ok,richtig,false,ok,high,advisory-pass (low-assurance),kiro-agent,"'Ich muss in Frankfurt umsteigen'."
content/a1/reading/A1-T1-007.json,Q3,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"drei ≠ zwei Stunden."
content/a1/reading/A1-T1-007.json,Q4,a1,richtig_falsch,PASS,ok,ok,ok,richtig,false,ok,high,advisory-pass (low-assurance),kiro-agent,"'Ich hole dich am Bahnhof ab'."
content/a1/reading/A1-T1-007.json,Q5,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"'direkt vor dem Bahnhof' ≠ weit."
content/a1/reading/A1-T1-008.json,Q1,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"Samstag ≠ Sonntag."
content/a1/reading/A1-T1-008.json,Q2,a1,richtig_falsch,PASS,ok,ok,ok,richtig,false,ok,high,advisory-pass (low-assurance),kiro-agent,"'8 Euro pro Person'."
content/a1/reading/A1-T1-008.json,Q3,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"'erst um 11 Uhr' ≠ 9 Uhr."
content/a1/reading/A1-T1-008.json,Q4,a1,richtig_falsch,PASS,ok,ok,ok,richtig,false,ok,high,advisory-pass (low-assurance),kiro-agent,"'meine Schwester Nina'."
content/a1/reading/A1-T1-008.json,Q5,a1,richtig_falsch,PASS,ok,ok,ok,falsch,false,ok,high,advisory-pass (low-assurance),kiro-agent,"Gitarrenunterricht ≠ Klavier."
